"**«Кто-нибудь еще сомневается, что Криштиану был прав насчет тен Хага?».** **Новый твит Пирса Моргана после фиаско «МЮ»

**Не подбирал выражений в сторону голландца 🔥🗣
"💫** Симеоне назвал лучшего футболиста в мире прямо сейчас. **Не растерялся и сразу же объяснил свой выбор

И постарался быть максимально объективным 👇

https://sprts.cc/gQIBtS

@sportsru",0
"Самый выгодный трансфер этого сезона 💰

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**Загитова стала ведущей контрольных прокатов сборной России. **Оцените, какой фразой она поприветствовала зрителей 

😮😮😮

https://sprts.cc/gkhe49

@sportsru",0
"🤑** Эффект Роналду! Форма «Спортинга» от бренда Криша побила рекорд продаж клуба **– всего через 40 дней (!) после выхода

Это 42% оборота команды после старта сезона – на эти деньги даже можно провернуть трансфер 😉

https://sprts.cc/r7vxXW

@sportsru",0
"🎮** Рэшфорд отреагировал на свою карточку в EAFC 24. Сильно расстроился, когда увидел один из показателей
**
«Неужели я настолько плох?» 😨

https://sprts.cc/A0iOov

@sportsru",0
"💰 **Третий (или даже четвертый) вратарь «Зенита» Адамов рассказал, сколько денег он тратит в месяц

**А на сколько бы вам хватило этой суммы? 🧐

https://sprts.cc/PQz9Gb

@sportsru",0
"💥** Круто, у Санчо уже есть вариант с переходом в топ-клуб, если «МЮ» решит от него избавиться **– инсайд Diario Sport**
**
Правда, тренер там тоже требовательный 🙃

https://sprts.cc/pNZdo9

@sportsru",0
"🇷🇺 **Российским спортсменам безразлична Олимпиада. Решается их судьба – а они даже не задают вопросов**

Колонка Натальи Марьянчик 👇

https://sprts.cc/BQp2oP

@sportsru",0
"🍕** Месси выложил рекламу пиццы (за 3000 рублей) – и фанаты считают, что это худшая пицца в истории,** они в ужасе от ее вида**
**
Заказали бы себе такую? 😏

https://sprts.cc/lAl3VW

@sportsru",0
"Бэйл вернулся в видеоигры! 🎮

Но не в FIFA, а в симулятор гольфа PGA Tour 2K23 🏌️

Новая карьера легенды Уэльса 💫

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"👀** Внезапно: сын Месси дебютировал за детский «Интер Майами», но все обратили внимание на его товарища по команде, **когда он вышел на поле

Причем по очень странной причине 👇

https://sprts.cc/YJG5wA

@sportsru",0
"😳** Вот это ответ: Минеев мощно нокаутировал Карвальо на турнире «Рен ТВ» **– бразилец сам наносил удар (!) в этот момент 

Явно не ждал такого 😟

https://sprts.cc/tQswpy

@sportsru",0
"😒** «Вы серьезно задаете этот вопрос?» Клопп снова сорвался после фразы журналиста** – эта тема надоела ему больше, чем трансфер Салаха

«Составьте свое собственное мнение, не пользуясь источниками» 😡

https://sprts.cc/rZyta2

@sportsru",0
"😮** Ого, Роналду собирается подать в суд на бывший клуб**. Безумно зол, что боссы не сдержали важное обещание

От действий клуба пострадал еще один игрок. Но он согласился решить вопрос мирно 🤷‍♂️

https://sprts.cc/A4TjnV

@sportsru",0
"🇷🇺** «Если русский что-то обещает, он всегда выполнит. Этот народ очень горд». Экс-игрок «Ливерпуля» Риера** высказался о русском менталитете**
**
Но одну вещь испанец так и не смог понять, хотя несколько лет жил в Омске с русской женой 👇

https://sprts.cc/235H3F

@sportsru",0
"🗣️** ЦСКА впервые объяснил, почему сорвался трансфер Велингтона. **Версия клуба отличается от той, что мы слышали вчера 

Официальное заявление 👇

https://sprts.cc/0Z7vqR 

@sportsru",0
"💥** Вау, Мбаппе забил «Ницце» супергол ножницами – этот мяч точно надо видеть **

Есть видео 👇

https://sprts.cc/85zCdr

@sportsru",0
"😏** Александр Овечкин назвал сумму, за которую готов выступить в Поп ММА: «Вышел бы прям щас»**

🤑🤑🤑

https://sprts.cc/v7wsTh

@sportsru",0
"🥵** «Он не дает передохнуть ни секунды». Роналду назвал самого сложного соперника в карьере **– выбрал легендарного защитника 

А ведь Криш играл против «Барсы» Пепа 😳

https://sprts.cc/SS47cV

@sportsru",0
"😏** Опа, у Модрича появился вариант в Европе на следующий сезон – новый клуб уже готов его забрать. **Высказался даже президент

«Зимой я ему позвоню» 😉

https://sprts.cc/dgupS1

@sportsru",0
"🌟** «ПСЖ» проиграл «Ницце», но Мбаппе все равно покорилось новое достижение **– вошел в элитный клуб Месси и Роналду

Обгонит их всего через 3 матча 😉

https://sprts.cc/w134bm

@sportsru",0
"😉** «Думаю, в моей игре можно увидеть много сходств с ним». Изидор удивил всех выбором кумира **

Не Месси и не Роналду 🤷‍♂️

https://sprts.cc/dQ3OFn

@sportsru",0
"😡** «В Англии такое не свистнули бы». Мюллер резко высказался о решении судьи в концовке матча с «Байером» **

«Мы же в футбол играем!» 🙄

https://sprts.cc/4FtBEB

@sportsru",0
"🧐** Журналист спросил у Тен Хага, сыграет ли еще Санчо за «МЮ». На этот раз тренер не стал уходить от ответа **

Максимально жестко 😨

https://sprts.cc/D3l700

@sportsru",0
"🙃** «Обожаю этот спорт – раньше много играл». Абаскаль рассказал, каким еще спортом увлекается помимо футбола**

Необычный выбор 👇

https://sprts.cc/3P1GnZ

@sportsru",0
"🔞** Русский секс-символ ММА Анастасия Янькова: **встречалась с бойцом UFC, а в 17 лет набила тату с цитатой Али

Фанаты уверены: Янькова могла бы стать моделью 👇

https://sprts.cc/QzZ3pp

@sportsru",0
"✨** Дыра «Баварии», умный Алонсо и смелые розыгрыши «Байера». **Быстрые мысли о главном матче Бундеслиги

Оригинальные тактические детали 💡

https://sprts.cc/FieGK8

@sportsru",0
"😭** «ПСЖ» красиво попрощался с Верратти перед матчем с «Ниццей». **Марко провел за парижан 11 сезонов 

Получилось эмоционально 🥹 

https://sprts.cc/ISyVju

@sportsru",0
"🤯 **EA Sports показала рейтинги игроков чемпионата Саудовской Аравии. Пожалуйста, не показывайте это Криштиану

**Картинка, которая может сделать Роналду больно👇🏻

https://sprts.cc/iMINn2

@sportsru",0
"🗣 **Валерия Карпина спросили, в школу в какой стране пойдет его дочь через год: в России или в Эстонии?

**Поделился планами 👇

https://sprts.cc/X1aalZ

@sportsru",0
"💰 **До 0,5 млн рублей в месяц получает самый высокооплачиваемый игрок Медиалиги –** экс-футболист сборной России

На 2-м месте **–** легенда медиафутбола 🤔

https://sprts.cc/xDBAEn

@sportsru",0
"🌟🌟 **Эмблемы двух клубов РПЛ вошли в топ-100 лучших по версии портала FourFourTwo

**Согласны с выбором? 👇

https://sprts.cc/aeoIig

@sportsru",0
"**Месси назвал единственный пропущенный матч, о котором сожалеет**

«Я хотел бы оказаться на скамейке запасных в ту ночь» 😢😞

https://sprts.cc/LIzUlV

@sportsru",0
"Экспертное мнение: **лыжница Вероника Степанова тоже высказалась об отставке Рубиалеса за** **поцелуй

**Кажется, с ней впервые согласились в комментариях 😮👇

https://sprts.cc/QHBsmq

@sportsru",0
"**Лукаку заявил, что женщинам непросто его соблазнить. Но Ромелу объяснил, что может его заинтересовать**

«Все остальное я уже видел, понимаете?» 😮

https://sprts.cc/Tkzh2B

@sportsru",0
"👀 **Жене хоккеиста Евгения Малкина предложили поработать на OnlyFans. Она показала скриншоты**

И достойно ответила 😉

https://sprts.cc/UJgKWb

@sportsru",0
"Игрок года УЕФА ❌
«Золотой мяч» ❌
The Best ❌

Впервые за 20 лет Криштиану не поборется ни за одну из индивидуальных наград 😢

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"😅 **Марсьяль пробыл на тренировке «МЮ» всего 5 минут.** Такое бывало почти с каждым – причина очень смешная

«Марсьяль − это Санчо наоборот» 🙃

https://sprts.cc/hX5hHT

@sportsru",0
"🏒 **СКА падает все ниже и ниже: 10-е место, четвертое (!) поражение подряд, а Ротенберг уже думает о финише**

Когда это закончится? 🤷‍♂️

https://sprts.cc/z0USLv

@sportsru",0
"**7 очень спорных мыслей из интервью Абаскаля. Разбор Дорского**

С кем вы согласны? 🤔

[https://sprts.cc/hroAaX](https://sprts.cc/hroAaX)

@sportsru",0
"😱**  ВАУ! Как же положил Гримальдо со штрафного в ворота «Баварии»! **Восхитил даже Сане

Супергол из Бундеслиги 😎

https://sprts.cc/IhPEAZ

@sportsru",0
"⚪ **«Реал» нашел замену Карвахалю в АПЛ –** считают, что этот парень закроет позицию на долгие годы

Осталось только убедить его самого 😮

https://sprts.cc/sA3bGh

@sportsru",0
"🙅‍♂️ **Дубля Мбаппе не хватило даже для ничьей с «Ниццей»**

Может быть, пора уже включаться новичкам «ПСЖ»? 🤨

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**«Байер» на последних секундах сравнял счет в матче с «Баварией» – 2:2! **🔥**
**
Команда Хаби Алонсо в этом сезоне (во всех турнирах):

⚽️ 5 матчей
👏 4 победы
⚖️ 1 ничья
😎 21 гол
❌ 5 пропущенных
🔝 1 место в Бундеслиге

Браво!

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"😌 **Торган Азар посоветовал Эдену новый клуб, но тот лишь рассмеялся в ответ.** Сам Торган недавно перешел в «Андерлехт»

А Эден все еще не определился с будущим 💁‍♂

[https://sprts.cc/t1Kl1X](https://sprts.cc/t1Kl1X)

@sportsru",0
"👀 **ВИДЕО: Неймар сделал ассист в 1-м матче за «Аль-Хилаль» после трансфера из «ПСЖ» за 90 млн евро**

Отдал на Малкома 😉

[https://sprts.cc/32Yfez](https://sprts.cc/32Yfez)

@sportsru",0
"**❌ В Казахстане приостановили продажу билетов на шоу Навки «История любви Шахерезады»

**Подробности ⤵️

https://sports.ru/figure-skating/1115468179.html?utm_source=telegram&utm_medium=figurea

@figureskatingfan",0
"У Кейна 4 гола в первых 4 матчах Бундеслиги 😎

Первый игрок «Баварии» после Клозе в 2007-м, кому это удалось 🏴󠁧󠁢󠁥󠁮󠁧󠁿

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"😮 **Много странных привычек. Месси впервые откровенно рассказал о своем образе жизни **и удивительных обычаях

Все-таки он человек! 

https://sprts.cc/qYaAur

@sportsru",0
"**Представляете, у гонщика «Ф-1» есть именное меню в «Макдональдс»! **Что же в него входит?

🍔🍟🥤

https://sprts.cc/aSEWgJ

@sportsru",0
"**«Значит, они зря прожили свою жизнь». Уткин высказался об участии российских **спортсменов в Олимпиаде

Проникновенная речь Василия 😮

https://sprts.cc/uMo0qB

@sportsru",0
"🥲 **Верратти попрощался с «ПСЖ»: 11 лет и 30 трофеев**

Настоящая легенда Парижа 👏

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"🏟** Как же хорош обновленный «Бернабеу»! Вот куда «Реал» потратил почти 1 млрд евро**

Восторгаемся! 🤩

https://sprts.cc/MKTV5w

@sportsru",0
"**Хави иронично высказался о критике в свой адрес после номинации на премию The Best
**
«Забавно» 😉

https://sprts.cc/s3mAe6

@sportsru",0
"💥 **ВИДЕО: новичок «Пари НН» пяткой (!) сравнял счет **на 88-й минуте в дебютном (!!) матче, выйдя за 6 минут (!!!) до этого**
**
Воспитанник «ПСЖ» 😮

[https://sprts.cc/HOANWW](https://sprts.cc/HOANWW)

@sportsru",0
"🦖** Огромная ящерица выбежала на трассу «Формулы-1» в Сингапуре прямо перед гонщиком **

Есть фото от его лица 📷

https://sprts.cc/jKhuc7

@sportsru",0
"🤩 **«Байер» Хаби Алонсо – самая красивая команда Европы прямо сейчас. Рекомендуем насладиться**

Разобрали очень приятную команду👇

[https://sprts.cc/zClE5X](https://sprts.cc/zClE5X)

@sportsru",0
"🙅‍♂️ **Этого стоило ожидать – за Ямалем пришел клуб из АПЛ, но Ламин сразу же отклонил предложение. **Думает только о «Барсе»

Не получилось переманить 16-летнего гения 😐

[https://sprts.cc/XoXoi8](https://sprts.cc/XoXoi8)

@sportsru",0
"👀 **Издание FourFourTwo назвало лучших ЦЗ. **Алаба на 3-м месте, а ван Дейк и Араухо едва залетели в топ-10

Уже догадались, кто на первых двух местах? 😉

[https://sprts.cc/DtSR2n](https://sprts.cc/DtSR2n)

@sportsru",0
"**«Он сказал: «Лысая ######». Я не лысый и не ######». Генич рассказал о своих отношениях с Дзюбой**

«Пообсирали друг друга» 🙃

[https://sprts.cc/R9r3di](https://sprts.cc/R9r3di)

@sportsru",0
"**В 18 лет Рафинья был в шаге от того, чтобы завязать с футболом. Но рядом оказался 1 человек, который переубедил его**

Мощная история 💪

[https://sprts.cc/SEAX3Y](https://sprts.cc/SEAX3Y)

@sportsru",0
"🏎 **В «Формуле-1» больше нет рента-драйверов – деньги от спонсоров за гонщиков не прельщают даже аутсайдеров
**
Как же так вышло? 🤔

https://sprts.cc/IkTFSS

@sportsru",0
"**Что он вообще несет? Почеттино высказался о составе «Челси» и отсутствии клуба в еврокубках
**
А может это сарказм? 🤨

[https://sprts.cc/JqFp1A](https://sprts.cc/JqFp1A)

@sportsru",0
"🗣 **«Этот как Гугл, только с пиписькой, а второго я не воспринимаю».** Уткин о двух комментаторах «Матч ТВ»

Объяснил свою критику👇

https://sprts.cc/TkfMSc

@sportsru",0
"🤷‍♀️** Хмм, 20-летний уругвайский талант и капитан сборной U20 ОТКАЗАЛ трем топ-клубам – «Барсе», «Ливерпулю» и «ПСЖ»**

И ради чего?! 🤯

https://sprts.cc/lTYgFh

@sportsru",0
"❗️**Президент Литвы подписал указ о лишении Маргариты Дробязко гражданства

**Вчера фигуристка выступила с** **обращением к гражданам и администрации страны. 

**Подробности** ⤵️

https://sports.ru/figure-skating/1115468398.html?utm_source=telegram&utm_medium=figurea

@figureskatingfan",0
"**Клопп взбесился от вопроса о будущем Салаха –** очень резко ответил журналисту на пресс-конференции

😬😬😬

[https://sprts.cc/qO3wS3](https://sprts.cc/qO3wS3)

@sportsru",0
"**Месси назвал единственный пропущенный матч, о котором сожалеет**

«Я хотел бы оказаться на скамейке запасных в ту ночь» 😢😞

https://sprts.cc/LIzUlV

@sportsru",0
"👀 **В сеть попал трансферный шорт-лист «Барсы». Его составили скауты клуба – в списке 5 фамилий**

Неожиданные кандидаты 😮

[https://sprts.cc/ADImRG](https://sprts.cc/ADImRG)

@sportsru",0
"**⏳ Наступила эпоха матчей по 100+ минут. Но точно ли в них больше футбола? Исследуем топ-чемпионаты и РПЛ

**В Ла Лиге пока свой путь 🤷‍♂️

https://sprts.cc/evpMoc

@sportsru",0
"🤯 **Конфликт продолжается: Тен Хаг не назвал Санчо по имени (!) на пресс-конференции – журналисты дважды подряд пытались спросить об игроке

**Но Эрик вместо этого будто и не слушал их – и говорил о другом👇

https://sprts.cc/iAFd4M

@sportsru",0
"**😐 Свежие детали суда по Валиевой: дело ведет лучший адвокат США, а у Камилы очень необычные требования

**Собрали всю инфу👇

https://sprts.cc/HHhf74

@sportsru",0
"**😨 Трансфер Велингтона из «Сан-Паулу» в ЦСКА сорвался ❌ Хотя сделка была уже согласована**

Футболист прошел медосмотр и даже было фото с Бабаевым 📸

**Goal назвал причину 👇🏻**

https://sprts.cc/hQXUU6",0
"**🌟 Видео: новый гол Бензема в Саудовской Аравии – классно разобрался и положил КОЛЕНОМ

**Его не остановить 💫

https://sprts.cc/6lNCzD

@sportsru",0
"**😳 Новый криминал в НБА. Кевин Портер избил свою девушку и скоро вылетит из лиги

**У «Хьюстона» опять проблемы 🤷‍♂️

https://sprts.cc/2Pa6Fz

@sportsru",0
"**🗣 Левандовски: «До «Барселоны» я был машиной. Теперь я в большей степени человек»

**Откровенные слова Роберта👇

https://sprts.cc/XF6FAB

@sportsru",0
"**Точкой на карте мы указали родной город клуба, участвующего в ЛЧ **🗺 

 Сможете угадать его?

https://sirena.world/JVRg6mS",0
"😜 **Интересная логика: Мбаппе рассказал, почему в детстве был фанатом Роналду и совсем не любил Месси 

**Многие из вас наверняка думали как Килиан 🙃

https://sprts.cc/DxSKY2

@sportsru",0
"**📺 Какие матчи смотреть на выходных? Выбрали 12 игр, которые точно нельзя пропустить

**Очень много интересного футбола👇

https://sprts.cc/5q6RQB

@sportsru",0
"**👀 Не мог пройти мимо: Александр Мостовой отреагировал на слова тренера «Спартака» Гильермо Абаскаля

**Ответил в своем стиле, конечно же 😉

https://sprts.cc/3GzTps

@sportsru",0
"**💫 «СКА-Арена» – самый большой и дорогой хоккейный стадион в мире! Даже в НХЛ такого нет

**Стоимость (и внешний вид) – космос! 🤯

https://sprts.cc/1QKRTq

@sportsru",0
"**👀 Джейдон Санчо может покинуть «Ман Юнайтед» уже зимой – все из-за скандала с Тен Хагом 

**Но есть вариант избежать этого – нужно выполнить единственное требование тренера 😳

https://sprts.cc/A2hzkL

@sportsru",0
"🫢** Навка задала Овечкину вопрос о «страшных гонениях русских» в США.** Александр не стал уходить от ответа

🗣️🗣️🗣️

https://sprts.cc/mtM9uB

@sportsru",0
"**Дацик прибыл на Донбасс и может подписать контракт с Минобороны РФ** 🪖

Подробности от менеджера бойца 👇

https://sprts.cc/ikKZST

@puncher_sports",0
"**«Заметил ее 15-летнюю и застолбил». Российский спортсмен признался, что начал ухаживать за будущей женой, когда ей было 15 лет

**Он точно понял, что сказал? 😳

https://sprts.cc/j6VBun

@sportsru",0
"🤯 **EA Sports показала рейтинги игроков чемпионата Саудовской Аравии. Пожалуйста, не показывайте это Криштиану

**Картинка, которая может сделать Роналду больно👇🏻

https://sprts.cc/iMINn2

@sportsru",0
"❌ **УЕФА против нового правила АПЛ: «Это абсолютно абсурдно, **трагедия в плане благополучия игроков»

«Безумие» 😨

https://sprts.cc/t2CbO3

@sportsru",0
"⚡️ **Валиева требует в CAS восстановить ее победу на ЧР-2022

**Она не признает вину в допинг-нарушении**. Подробности **⤵️**

**https://sports.ru/figure-skating/1115467623.html?utm_source=telegram&utm_medium=figurea

@figureskatingfan",0
"👀 **Следит за каждой мелочью: Тен Хаг придумал новое правило для игроков «МЮ» – раньше в клубе такого не было

**Оно уже начало действовать 👇

https://sprts.cc/XRTFb9

@sportsru",0
"**Гильермо Абаскаль объяснил свое решение работать в России. И рассказал, отговаривал ли его кто-то от переезда в Москву

🗣** 🗣 🗣 

https://sprts.cc/KYHC4l

@sportsru",0
"**Winline начал раздавать фрибет всем своим пользователям! 

**Заходите в приложение прямо сейчас и крутите Колесо Фортуны 👇

https://sirena.world/fFzuO3

Реклама, 18+, ООО «УК НКС»",0
"😮 **В ответ на критику за переход в другую страну российская пловчиха выложила смелое фото: «Лучше поцелуйте это»

**Не побоялась👇

https://sprts.cc/GpAQQH

@sportsru",0
"😲 **У Абаскаля спросили, как он относится к высказываниям Мостового в свой адрес. Тренер ответил испанской цитатой

**Прямо во время интервью вбил ее в гугл-переводчик и показал! 😜

https://sprts.cc/3AGKt6

@sportsru",0
"‼️ **Большое интервью Абаскаля ****Sports.ru****. Глеб Чернявский поговорил с тренером «Спартака» и получил ответы на многие волнующие вопросы

**🐐** **Абаскаль учился в одной школе с Лео Месси. Каким он был тогда?

👀 Сравнения с Романцевым, общение с Федуном и Заремой, почему поехал в Россию, когда большинство отсюда уезжало

🗣 Гильермо в интервью впервые ответил Мостовому! И очень тепло рассказал о Москве и сыне Николае 

**Главное чтиво дня, которое ну никак нельзя пропустить**👇

https://sprts.cc/Kbm1Gy

@sportsru",0
"**🚨 Игроки «Реала», замешанные в скандале с секс-видео с несовершеннолетней, могут оказаться в тюрьме

**Подробности👇

https://sprts.cc/xo6kdT

@sportsru",0
